#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -1183751.3794   -1183751.3794   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4080.1082       957.9410        0.06291730      0.09437596      0.09437596      0.18875191      0.01572933      0.18875191      0.18875191      0.16634572      
200000          -1857735.7018   -1857735.7018   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4398.1382       1126.4750       0.05821770      0.08732655      0.08732655      0.17465310      0.01455443      0.17465310      0.17465310      0.22861547      
300000          -2081038.6586   -2081038.6586   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4489.8422       1175.0718       0.05701800      0.08552699      0.08552699      0.17105399      0.01425450      0.17105399      0.17105399      0.24451156      
400000          -2125625.4667   -2125625.4667   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4505.1644       1183.1915       0.05682413      0.08523619      0.08523619      0.17047238      0.01420603      0.17047238      0.17047238      0.24708034      
500000          -2164350.8417   -2164350.8417   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4518.6569       1190.3416       0.05665430      0.08498145      0.08498145      0.16996291      0.01416358      0.16996291      0.16996291      0.24933050      
600000          -2154537.3698   -2154537.3698   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4516.6035       1189.2534       0.05667993      0.08501990      0.08501990      0.17003980      0.01416998      0.17003980      0.17003980      0.24899088      
700000          -2122175.7292   -2122175.7292   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4507.1496       1184.2435       0.05679978      0.08519968      0.08519968      0.17039935      0.01419995      0.17039935      0.17039935      0.24740286      
800000          -2080261.1132   -2080261.1132   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4488.7638       1174.5003       0.05703150      0.08554725      0.08554725      0.17109450      0.01425788      0.17109450      0.17109450      0.24433261      
900000          -2045824.9917   -2045824.9917   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4472.4110       1165.8344       0.05724040      0.08586060      0.08586060      0.17172119      0.01431010      0.17172119      0.17172119      0.24156474      
1000000         -2027086.2231   -2027086.2231   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4462.8679       1160.7772       0.05736281      0.08604421      0.08604421      0.17208842      0.01434070      0.17208842      0.17208842      0.23994280      
1100000         -2067258.1816   -2067258.1816   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4485.9159       1172.9911       0.05706812      0.08560218      0.08560218      0.17120436      0.01426703      0.17120436      0.17120436      0.24384741      
