#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -861392.3662    -861392.3662    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3899.9212       862.4544        0.06571750      0.09857625      0.09857625      0.19715249      0.01642937      0.19715249      0.19715249      0.12924317      
200000          -1198876.3418   -1198876.3418   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4075.6427       955.5746        0.06281526      0.09422290      0.09422290      0.18844579      0.01570382      0.18844579      0.18844579      0.16769774      
300000          -1219838.8931   -1219838.8931   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4084.3026       960.1638        0.06268033      0.09402049      0.09402049      0.18804098      0.01567008      0.18804098      0.18804098      0.16948566      
400000          -1329853.0791   -1329853.0791   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4140.2562       989.8153        0.06183532      0.09275298      0.09275298      0.18550597      0.01545883      0.18550597      0.18550597      0.18068199      
500000          -1329425.0358   -1329425.0358   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4142.7074       991.1143        0.06179651      0.09269476      0.09269476      0.18538952      0.01544913      0.18538952      0.18538952      0.18119631      
600000          -1289711.5787   -1289711.5787   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4121.7619       980.0146        0.06211356      0.09317034      0.09317034      0.18634068      0.01552839      0.18634068      0.18634068      0.17699534      
700000          -1270200.4680   -1270200.4680   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4109.5630       973.5501        0.06229811      0.09344717      0.09344717      0.18689433      0.01557453      0.18689433      0.18689433      0.17455003      
800000          -1172562.3372   -1172562.3372   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4057.2279       945.8160        0.06309955      0.09464932      0.09464932      0.18929865      0.01577489      0.18929865      0.18929865      0.16393097      
900000          -1215694.5136   -1215694.5136   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4077.4608       956.5381        0.06278526      0.09417789      0.09417789      0.18835577      0.01569631      0.18835577      0.18835577      0.16809533      
1000000         -1205812.5234   -1205812.5234   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4080.7549       958.2837        0.06273513      0.09410270      0.09410270      0.18820540      0.01568378      0.18820540      0.18820540      0.16875946      
