#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -80877402.0998  -1071662.7688   0.0000          0.0000          0.0000          -79805739.3310  -64502945.6760  2597.8671       4000.1707       915.5796        0.06421536      0.09632304      0.09632304      0.19264609      0.01605384      0.19264609      0.19264609      0.14914645      
200000          -82182765.5225  -2159965.9303   0.0000          0.0000          0.0000          -80022799.5922  -64718326.7520  2809.7038       4537.7419       1200.4553       0.05643041      0.08464562      0.08464562      0.16929123      0.01410760      0.16929123      0.16929123      0.25229705      
300000          -82662783.7712  -2540469.5871   0.0000          0.0000          0.0000          -80122314.1840  -64817315.9766  2839.8667       4695.6655       1284.1439       0.05452016      0.08178025      0.08178025      0.16356049      0.01363004      0.16356049      0.16356049      0.27760782      
400000          -82846529.0280  -2681141.6244   0.0000          0.0000          0.0000          -80165387.4037  -64860277.2986  2907.6046       4746.7314       1311.2054       0.05393217      0.08089826      0.08089826      0.16179652      0.01348304      0.16179652      0.16179652      0.28539868      
500000          -82891550.1390  -2715780.7892   0.0000          0.0000          0.0000          -80175769.3497  -64870560.5465  2847.8893       4757.8133       1317.0780       0.05380649      0.08070974      0.08070974      0.16141948      0.01345162      0.16141948      0.16141948      0.28706396      
600000          -82974649.5379  -2777183.4531   0.0000          0.0000          0.0000          -80197466.0848  -64892098.4954  2764.7437       4779.3161       1328.4730       0.05356443      0.08034664      0.08034664      0.16069328      0.01339111      0.16069328      0.16069328      0.29027134      
700000          -82992546.5374  -2775843.2090   0.0000          0.0000          0.0000          -80216703.3284  -64911380.4930  2825.7530       4783.9371       1330.9218       0.05351257      0.08026886      0.08026886      0.16053772      0.01337814      0.16053772      0.16053772      0.29095840      
800000          -82986641.3748  -2764749.6154   0.0000          0.0000          0.0000          -80221891.7593  -64916501.9617  2735.1134       4777.2062       1327.3549       0.05358806      0.08038209      0.08038209      0.16076417      0.01339701      0.16076417      0.16076417      0.28995824      
900000          -83098408.7127  -2861885.3276   0.0000          0.0000          0.0000          -80236523.3851  -64930798.9485  2523.6637       4812.2258       1345.9129       0.05319802      0.07979703      0.07979703      0.15959405      0.01329950      0.15959405      0.15959405      0.29512626      
1000000         -83143761.2304  -2899051.4138   0.0000          0.0000          0.0000          -80244709.8166  -64938971.0417  2553.3281       4824.7347       1352.5417       0.05305997      0.07958995      0.07958995      0.15917990      0.01326499      0.15917990      0.15917990      0.29695542      
1100000         -83191025.8116  -2927843.1459   0.0000          0.0000          0.0000          -80263182.6657  -64957433.6235  2576.5677       4834.2599       1357.5894       0.05295547      0.07943320      0.07943320      0.15886640      0.01323887      0.15886640      0.15886640      0.29834008      
1200000         -83175301.8621  -2909644.9717   0.0000          0.0000          0.0000          -80265656.8904  -64960053.1560  2713.9460       4832.0058       1356.3949       0.05298010      0.07947015      0.07947015      0.15894030      0.01324503      0.15894030      0.15894030      0.29801365      
1300000         -83171542.0815  -2912996.9407   0.0000          0.0000          0.0000          -80258545.1408  -64952957.6449  2731.5653       4832.3983       1356.6029       0.05297584      0.07946376      0.07946376      0.15892753      0.01324396      0.15892753      0.15892753      0.29807008      
1400000         -83168176.3898  -2906915.8393   0.0000          0.0000          0.0000          -80261260.5505  -64955772.3085  2815.4958       4828.0422       1354.2945       0.05302364      0.07953546      0.07953546      0.15907091      0.01325591      0.15907091      0.15907091      0.29743681      
1500000         -83166476.0123  -2901074.1325   0.0000          0.0000          0.0000          -80265401.8798  -64959797.3779  2693.9093       4826.5280       1353.4920       0.05304027      0.07956040      0.07956040      0.15912081      0.01326007      0.15912081      0.15912081      0.29721644      
1600000         -83185273.4700  -2913343.7470   0.0000          0.0000          0.0000          -80271929.7230  -64966366.7614  2746.0473       4829.5407       1355.0885       0.05300724      0.07951086      0.07951086      0.15902173      0.01325181      0.15902173      0.15902173      0.29765404      
1700000         -83204504.0169  -2933299.0397   0.0000          0.0000          0.0000          -80271204.9772  -64965594.8545  2718.0941       4835.0010       1357.9821       0.05294738      0.07942107      0.07942107      0.15884214      0.01323684      0.15884214      0.15884214      0.29844722      
1800000         -83279046.8069  -2996157.4588   0.0000          0.0000          0.0000          -80282889.3480  -64977294.0318  2810.0170       4856.9233       1369.5995       0.05270850      0.07906275      0.07906275      0.15812550      0.01317713      0.15812550      0.15812550      0.30161237      
1900000         -83303531.4484  -3010600.2535   0.0000          0.0000          0.0000          -80292931.1948  -64987293.6811  2787.5505       4862.5324       1372.5718       0.05264754      0.07897131      0.07897131      0.15794262      0.01316189      0.15794262      0.15794262      0.30242008      
2000000         -83273791.1957  -2984846.0265   0.0000          0.0000          0.0000          -80288945.1692  -64983328.7497  2777.3503       4853.6361       1367.8575       0.05274409      0.07911613      0.07911613      0.15823226      0.01318602      0.15823226      0.15823226      0.30114084      
2100000         -83277869.5207  -2988845.5822   0.0000          0.0000          0.0000          -80289023.9385  -64983405.2799  2776.5674       4854.0501       1368.0768       0.05273952      0.07910928      0.07910928      0.15821856      0.01318488      0.15821856      0.15821856      0.30120137      
2200000         -83321743.1058  -3028089.4090   0.0000          0.0000          0.0000          -80293653.6969  -64987993.8369  2778.2047       4866.2281       1374.5303       0.05260768      0.07891152      0.07891152      0.15782305      0.01315192      0.15782305      0.15782305      0.30294820      
2300000         -83357508.1256  -3049275.5083   0.0000          0.0000          0.0000          -80308232.6172  -65002487.2318  2726.9769       4875.9781       1379.6971       0.05250232      0.07875348      0.07875348      0.15750696      0.01312558      0.15750696      0.15750696      0.30434428      
2400000         -83332309.9556  -3029613.0574   0.0000          0.0000          0.0000          -80302696.8981  -64996970.6018  2711.6121       4866.1837       1374.5068       0.05260803      0.07891204      0.07891204      0.15782408      0.01315201      0.15782408      0.15782408      0.30294363      
2500000         -83286337.4749  -2997387.1364   0.0000          0.0000          0.0000          -80288950.3385  -64983350.4543  2809.0419       4857.9447       1370.1407       0.05269724      0.07904586      0.07904586      0.15809172      0.01317431      0.15809172      0.15809172      0.30176156      
2600000         -83244809.0638  -2954731.1254   0.0000          0.0000          0.0000          -80290077.9384  -64984443.8006  2720.1051       4842.3996       1361.9029       0.05286648      0.07929972      0.07929972      0.15859944      0.01321662      0.15859944      0.15859944      0.29951914      
2700000         -83221247.3425  -2937517.4347   0.0000          0.0000          0.0000          -80283729.9078  -64977987.9471  2600.4047       4839.0231       1360.1136       0.05290330      0.07935495      0.07935495      0.15870991      0.01322583      0.15870991      0.15870991      0.29903125      
2800000         -83246724.4929  -2957684.8080   0.0000          0.0000          0.0000          -80289039.6850  -64983345.0010  2673.8171       4846.4528       1364.0508       0.05282217      0.07923326      0.07923326      0.15846651      0.01320554      0.15846651      0.15846651      0.30010624      
2900000         -83256515.4182  -2963143.2287   0.0000          0.0000          0.0000          -80293372.1895  -64987722.8665  2731.3611       4849.9162       1365.8861       0.05278448      0.07917672      0.07917672      0.15835344      0.01319612      0.15835344      0.15835344      0.30060563      
