#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
2300000         -83462027.2112  -3130132.2662   0.0000          0.0000          0.0000          -80331894.9451  -65026217.0193  2891.3469       4903.5273       1394.2963       0.05220735      0.07831103      0.07831103      0.15662206      0.01305184      0.15662206      0.15662206      0.30825259      
2400000         -83461065.4626  -3118861.7175   0.0000          0.0000          0.0000          -80342203.7451  -65036495.4165  2856.9466       4902.3909       1393.6941       0.05221959      0.07832939      0.07832939      0.15665878      0.01305490      0.15665878      0.15665878      0.30809037      
2500000         -83467542.8864  -3134607.8486   0.0000          0.0000          0.0000          -80332935.0378  -65027124.2553  2752.2953       4901.7662       1393.3631       0.05222614      0.07833921      0.07833921      0.15667842      0.01305653      0.15667842      0.15667842      0.30800365      
2600000         -83469014.2935  -3124492.0527   0.0000          0.0000          0.0000          -80344522.2407  -65038813.2590  2853.0844       4901.4786       1393.2107       0.05222919      0.07834378      0.07834378      0.15668756      0.01305730      0.15668756      0.15668756      0.30796327      
2700000         -83474858.9033  -3126534.2996   0.0000          0.0000          0.0000          -80348324.6037  -65042829.7104  3076.1580       4904.0329       1394.5643       0.05220196      0.07830294      0.07830294      0.15660589      0.01305049      0.15660589      0.15660589      0.30832399      
2800000         -83498137.8633  -3151420.4761   0.0000          0.0000          0.0000          -80346717.3872  -65041073.4275  2954.6281       4911.8609       1398.7125       0.05211876      0.07817814      0.07817814      0.15635629      0.01302969      0.15635629      0.15635629      0.30942639      
2900000         -83490336.9196  -3138247.0712   0.0000          0.0000          0.0000          -80352089.8484  -65046454.9679  2944.3475       4906.3573       1395.7961       0.05217722      0.07826583      0.07826583      0.15653167      0.01304431      0.15653167      0.15653167      0.30865179      
3000000         -83497164.0042  -3147126.6925   0.0000          0.0000          0.0000          -80350037.3117  -65044410.5594  2969.0508       4911.0693       1398.2931       0.05212718      0.07819077      0.07819077      0.15638155      0.01303180      0.15638155      0.15638155      0.30931483      
3100000         -83508147.3818  -3165619.5449   0.0000          0.0000          0.0000          -80342527.8369  -65036755.8014  2838.1114       4915.1468       1400.4539       0.05208392      0.07812588      0.07812588      0.15625176      0.01302098      0.15625176      0.15625176      0.30988806      
3200000         -83515719.7786  -3175176.6102   0.0000          0.0000          0.0000          -80340543.1683  -65034662.8142  2740.2092       4918.1080       1402.0231       0.05205257      0.07807886      0.07807886      0.15615772      0.01301314      0.15615772      0.15615772      0.31030342      
3300000         -83526960.8177  -3169000.2114   0.0000          0.0000          0.0000          -80357960.6062  -65052128.4800  2789.3363       4918.3636       1402.1586       0.05204989      0.07807484      0.07807484      0.15614967      0.01301247      0.15614967      0.15614967      0.31033895      
3400000         -83518772.5304  -3164514.7686   0.0000          0.0000          0.0000          -80354257.7618  -65048465.3117  2819.9108       4915.7762       1400.7874       0.05207724      0.07811587      0.07811587      0.15623173      0.01301931      0.15623173      0.15623173      0.30997651      
3500000         -83514719.9199  -3161838.8702   0.0000          0.0000          0.0000          -80352881.0497  -65046978.1710  2696.6355       4912.1242       1398.8521       0.05211601      0.07817401      0.07817401      0.15634803      0.01302900      0.15634803      0.15634803      0.30946288      
3600000         -83475243.9823  -3129335.5913   0.0000          0.0000          0.0000          -80345908.3910  -65040093.6076  2758.3996       4904.6389       1394.8854       0.05219553      0.07829330      0.07829330      0.15658659      0.01304888      0.15658659      0.15658659      0.30840921      
3700000         -83471731.4518  -3123366.3388   0.0000          0.0000          0.0000          -80348365.1130  -65042474.7025  2669.6781       4900.9165       1392.9128       0.05223521      0.07835281      0.07835281      0.15670563      0.01305880      0.15670563      0.15670563      0.30788348      
3800000         -83466271.0508  -3113559.9321   0.0000          0.0000          0.0000          -80352711.1187  -65046926.1486  2765.5544       4898.1976       1391.4720       0.05226417      0.07839626      0.07839626      0.15679252      0.01306604      0.15679252      0.15679252      0.30749969      
3900000         -83471089.4384  -3126000.6921   0.0000          0.0000          0.0000          -80345088.7463  -65039246.9544  2715.9554       4900.2509       1392.5601       0.05224225      0.07836338      0.07836338      0.15672675      0.01306056      0.15672675      0.15672675      0.30779017      
4000000         -83467654.1169  -3125840.8732   0.0000          0.0000          0.0000          -80341813.2437  -65035974.6309  2717.8874       4899.8964       1392.3722       0.05224606      0.07836908      0.07836908      0.15673817      0.01306151      0.15673817      0.15673817      0.30773976      
4100000         -83475620.5336  -3126415.4090   0.0000          0.0000          0.0000          -80349205.1246  -65043527.3570  2899.8011       4905.8856       1395.5461       0.05218230      0.07827346      0.07827346      0.15654691      0.01304558      0.15654691      0.15654691      0.30858446      
4200000         -83502398.6996  -3149423.6741   0.0000          0.0000          0.0000          -80352975.0255  -65047270.5163  2888.0435       4910.1452       1397.8034       0.05213699      0.07820548      0.07820548      0.15641096      0.01303425      0.15641096      0.15641096      0.30918490      
4300000         -83505386.9461  -3162132.5692   0.0000          0.0000          0.0000          -80343254.3769  -65037611.0669  2963.5742       4914.2193       1399.9624       0.05209375      0.07814062      0.07814062      0.15628124      0.01302344      0.15628124      0.15628124      0.30975786      
4400000         -83489649.0731  -3145080.3409   0.0000          0.0000          0.0000          -80344568.7322  -65038869.8633  2895.3972       4910.6323       1398.0615       0.05213181      0.07819772      0.07819772      0.15639544      0.01303295      0.15639544      0.15639544      0.30925348      
4500000         -83469341.9776  -3128521.6499   0.0000          0.0000          0.0000          -80340820.3278  -65035245.4845  2996.3175       4904.0640       1394.5808       0.05220171      0.07830257      0.07830257      0.15660514      0.01305043      0.15660514      0.15660514      0.30832731      
4600000         -83440910.5145  -3108849.7708   0.0000          0.0000          0.0000          -80332060.7437  -65026365.5687  2845.3517       4895.3555       1389.9659       0.05229451      0.07844176      0.07844176      0.15688353      0.01307363      0.15688353      0.15688353      0.30709776      
4700000         -83477473.2599  -3142141.1248   0.0000          0.0000          0.0000          -80335332.1351  -65029569.3236  2801.7770       4902.1957       1393.5907       0.05222153      0.07833230      0.07833230      0.15666460      0.01305538      0.15666460      0.15666460      0.30806470      
4800000         -83480240.9013  -3137715.8603   0.0000          0.0000          0.0000          -80342525.0410  -65036778.3749  2821.5746       4903.2339       1394.1409       0.05221048      0.07831572      0.07831572      0.15663143      0.01305262      0.15663143      0.15663143      0.30821117      
4900000         -83456763.5488  -3117537.0495   0.0000          0.0000          0.0000          -80339226.4993  -65033677.0133  3008.8749       4900.4253       1392.6525       0.05224043      0.07836065      0.07836065      0.15672130      0.01306011      0.15672130      0.15672130      0.30781426      
5000000         -83442337.4553  -3104353.6067   0.0000          0.0000          0.0000          -80337983.8486  -65032247.4355  2810.0140       4897.0329       1390.8547       0.05227659      0.07841488      0.07841488      0.15682976      0.01306915      0.15682976      0.15682976      0.30733524      
5100000         -83496574.2346  -3149055.1451   0.0000          0.0000          0.0000          -80347519.0895  -65041553.3836  2631.8834       4911.5770       1398.5621       0.05212181      0.07818272      0.07818272      0.15636544      0.01303045      0.15636544      0.15636544      0.30938598      
5200000         -83527866.7824  -3168356.9190   0.0000          0.0000          0.0000          -80359509.8634  -65053480.4139  2592.0943       4918.3867       1402.1708       0.05204961      0.07807441      0.07807441      0.15614882      0.01301240      0.15614882      0.15614882      0.31034270      
5300000         -83538812.8148  -3171481.4493   0.0000          0.0000          0.0000          -80367331.3655  -65061346.0098  2636.8295       4918.5690       1402.2674       0.05204767      0.07807151      0.07807151      0.15614302      0.01301192      0.15614302      0.15614302      0.31036833      
