#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -564945.3627    -564945.3627    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3733.3602       774.1885        0.06859737      0.10289605      0.10289605      0.20579211      0.01714934      0.20579211      0.20579211      0.09108487      
200000          -673238.7932    -673238.7932    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3789.8270       804.1120        0.06755064      0.10132596      0.10132596      0.20265191      0.01688766      0.20265191      0.20265191      0.10495406      
300000          -699651.3835    -699651.3835    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3805.9141       812.6371        0.06726493      0.10089739      0.10089739      0.20179478      0.01681623      0.20179478      0.20179478      0.10873973      
400000          -677448.3679    -677448.3679    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3792.7873       805.6807        0.06750457      0.10125686      0.10125686      0.20251372      0.01687614      0.20251372      0.20251372      0.10556439      
500000          -697519.5233    -697519.5233    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3802.3966       810.7730        0.06732965      0.10099447      0.10099447      0.20198895      0.01683241      0.20198895      0.20198895      0.10788216      
600000          -680665.8621    -680665.8621    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3793.1849       805.8915        0.06749114      0.10123671      0.10123671      0.20247342      0.01687279      0.20247342      0.20247342      0.10574239      
700000          -715463.2009    -715463.2009    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3815.0818       817.4953        0.06710351      0.10065527      0.10065527      0.20131054      0.01677588      0.20131054      0.20131054      0.11087843      
800000          -646316.2241    -646316.2241    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3775.5058       796.5227        0.06780869      0.10171304      0.10171304      0.20342608      0.01695217      0.20342608      0.20342608      0.10153482      
900000          -685579.1042    -685579.1042    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3800.0201       809.5136        0.06737038      0.10105557      0.10105557      0.20211114      0.01684259      0.20211114      0.20211114      0.10734248      
