#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -80237451.7911  -514503.0523    0.0000          0.0000          0.0000          -79722948.7388  -64420849.5875  2202.4365       3690.3290       751.3850        0.06938782      0.10408173      0.10408173      0.20816346      0.01734695      0.20816346      0.20816346      0.08061139      
200000          -80445345.6063  -692021.1678    0.0000          0.0000          0.0000          -79753324.4384  -64451139.9202  2457.7046       3787.1633       802.7004        0.06760170      0.10140255      0.10140255      0.20280510      0.01690043      0.20280510      0.20280510      0.10427747      
300000          -80549593.7077  -780112.5831    0.0000          0.0000          0.0000          -79769481.1246  -64467271.2187  2603.7725       3835.9039       828.5296        0.06673903      0.10010854      0.10010854      0.20021708      0.01668476      0.20021708      0.20021708      0.11570789      
400000          -80600119.0364  -820053.4185    0.0000          0.0000          0.0000          -79780065.6179  -64477940.3626  2760.3908       3856.3625       839.3712        0.06638560      0.09957839      0.09957839      0.19915679      0.01659640      0.19915679      0.19915679      0.12039085      
500000          -80606106.9219  -823754.4204    0.0000          0.0000          0.0000          -79782352.5015  -64480231.6660  2772.8078       3858.6359       840.5760        0.06634625      0.09951937      0.09951937      0.19903874      0.01658656      0.19903874      0.19903874      0.12091225      
600000          -80736842.0732  -936416.9569    0.0000          0.0000          0.0000          -79800425.1163  -64498126.5547  2809.4076       3919.5635       872.8634        0.06531489      0.09797233      0.09797233      0.19594466      0.01632872      0.19594466      0.19594466      0.13457773      
700000          -80645251.2477  -860471.2526    0.0000          0.0000          0.0000          -79784779.9951  -64482580.9937  2769.7749       3879.9944       851.8945        0.06598270      0.09897404      0.09897404      0.19794809      0.01649567      0.19794809      0.19794809      0.12572928      
800000          -80524438.5287  -758122.9496    0.0000          0.0000          0.0000          -79766315.5791  -64464130.2076  2591.9702       3825.5742       823.0556        0.06692300      0.10038450      0.10038450      0.20076900      0.01673075      0.20076900      0.20076900      0.11327024      
900000          -80437775.9045  -686342.4526    0.0000          0.0000          0.0000          -79751433.4520  -64449369.6452  2571.9935       3785.3375       801.7329        0.06763208      0.10144813      0.10144813      0.20289625      0.01690802      0.20289625      0.20289625      0.10387489      
1000000         -80536056.3130  -770911.3917    0.0000          0.0000          0.0000          -79765144.9213  -64463015.0684  2678.5751       3834.4113       827.7386        0.06676640      0.10014960      0.10014960      0.20029920      0.01669160      0.20029920      0.20029920      0.11534520      
1100000         -80609663.8580  -830106.7502    0.0000          0.0000          0.0000          -79779557.1078  -64477403.3372  2756.7544       3863.4350       843.1192        0.06626353      0.09939529      0.09939529      0.19879058      0.01656588      0.19879058      0.19879058      0.12200826      
1200000         -80663547.8108  -876039.7862    0.0000          0.0000          0.0000          -79787508.0246  -64485334.6509  2821.9674       3887.5461       855.8964        0.06585513      0.09878270      0.09878270      0.19756539      0.01646378      0.19756539      0.19756539      0.12741952      
1300000         -80558469.4417  -787084.2576    0.0000          0.0000          0.0000          -79771385.1841  -64469251.8161  2679.7029       3835.7312       828.4381        0.06674448      0.10011673      0.10011673      0.20023345      0.01668612      0.20023345      0.20023345      0.11563558      
1400000         -80607390.1777  -831104.5169    0.0000          0.0000          0.0000          -79776285.6608  -64474111.4578  2739.7159       3864.3998       843.6304        0.06624797      0.09937196      0.09937196      0.19874391      0.01656199      0.19874391      0.19874391      0.12221439      
1500000         -80511575.1897  -748706.2826    0.0000          0.0000          0.0000          -79762868.9071  -64460753.8696  2635.3250       3817.9047       818.9913        0.06705875      0.10058813      0.10058813      0.20117626      0.01676469      0.20117626      0.20117626      0.11147151      
1600000         -80489018.0750  -727107.4071    0.0000          0.0000          0.0000          -79761910.6680  -64459746.8408  2554.6250       3808.8334       814.1841        0.06721526      0.10082288      0.10082288      0.20164577      0.01680381      0.20164577      0.20164577      0.10939786      
1700000         -80522503.2180  -759172.3679    0.0000          0.0000          0.0000          -79763330.8500  -64461181.4513  2633.9900       3827.2932       823.9665        0.06688998      0.10033496      0.10033496      0.20066993      0.01672249      0.20066993      0.20066993      0.11370783      
1800000         -80533542.5641  -767562.6845    0.0000          0.0000          0.0000          -79765979.8796  -64463840.6313  2654.8417       3830.3354       825.5786        0.06683835      0.10025753      0.10025753      0.20051505      0.01670959      0.20051505      0.20051505      0.11439184      
1900000         -80583718.1733  -807708.6456    0.0000          0.0000          0.0000          -79776009.5277  -64473829.7063  2691.4839       3852.2858       837.2109        0.06646017      0.09969026      0.09969026      0.19938051      0.01661504      0.19938051      0.19938051      0.11940274      
2000000         -80644653.1656  -859583.5109    0.0000          0.0000          0.0000          -79785069.6547  -64482867.9497  2761.5231       3878.4172       851.0587        0.06600947      0.09901420      0.09901420      0.19802840      0.01650237      0.19802840      0.19802840      0.12537456      
2100000         -80889922.6637  -1071718.0607   0.0000          0.0000          0.0000          -79818204.6030  -64515785.8517  2944.7627       3992.2086       911.3603        0.06414116      0.09621175      0.09621175      0.19242349      0.01603529      0.19242349      0.19242349      0.15012957      
2200000         -81225918.7904  -1351106.8272   0.0000          0.0000          0.0000          -79874811.9632  -64572241.4154  3305.0918       4137.7934       988.5102        0.06187212      0.09280818      0.09280818      0.18561636      0.01546803      0.18561636      0.18561636      0.18019441      
