#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
1000            -29239.9600     -29239.9600     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3411.3420       603.5411        0.07504407      0.11256611      0.11256611      0.22513222      0.01876102      0.22513222      0.22513222      0.00566605      
2000            -44755.3204     -44755.3204     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3420.6330       608.4647        0.07484003      0.11226005      0.11226005      0.22452010      0.01871001      0.22452010      0.22452010      0.00836958      
3000            -55073.2437     -55073.2437     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3427.6550       612.1858        0.07468672      0.11203008      0.11203008      0.22406017      0.01867168      0.22406017      0.22406017      0.01040092      
4000            -42580.7437     -42580.7437     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3418.7760       607.4806        0.07488068      0.11232102      0.11232102      0.22464204      0.01872017      0.22464204      0.22464204      0.00783098      
5000            -48837.8977     -48837.8977     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3420.9210       608.6173        0.07483369      0.11225053      0.11225053      0.22450106      0.01870842      0.22450106      0.22450106      0.00845363      
6000            -52441.2035     -52441.2035     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3424.4170       610.4699        0.07475737      0.11213605      0.11213605      0.22427210      0.01868934      0.22427210      0.22427210      0.00946491      
7000            -49519.6104     -49519.6104     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3422.8080       609.6173        0.07479249      0.11218873      0.11218873      0.22437746      0.01869812      0.22437746      0.22437746      0.00899955      
8000            -54739.9812     -54739.9812     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3426.6880       611.6734        0.07470778      0.11206167      0.11206167      0.22412334      0.01867695      0.22412334      0.22412334      0.01012190      
9000            -45037.6185     -45037.6185     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3419.0390       607.6200        0.07487502      0.11231252      0.11231252      0.22462505      0.01871875      0.22462505      0.22462505      0.00790604      
10000           -44033.7773     -44033.7773     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3420.2730       608.2739        0.07484794      0.11227190      0.11227190      0.22454381      0.01871198      0.22454381      0.22454381      0.00826486      
11000           -46351.2202     -46351.2202     0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3420.9310       608.6226        0.07483348      0.11225022      0.11225022      0.22450045      0.01870837      0.22450045      0.22450045      0.00845635      
