#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -81589445.2978  -1677719.9226   0.0000          0.0000          0.0000          -79911725.3752  -64607720.2031  2510.0521       4319.6116       1084.8613       0.05960803      0.08941205      0.08941205      0.17882409      0.01490201      0.17882409      0.17882409      0.21019358      
200000          -82637045.4191  -2529207.4302   0.0000          0.0000          0.0000          -80107837.9889  -64802450.6408  2464.0887       4699.4641       1286.1569       0.05447843      0.08171765      0.08171765      0.16343530      0.01361961      0.16343530      0.16343530      0.27816078      
300000          -82972412.1034  -2790262.3646   0.0000          0.0000          0.0000          -80182149.7387  -64876566.7188  2591.8933       4791.4206       1334.8875       0.05342916      0.08014374      0.08014374      0.16028749      0.01335729      0.16028749      0.16028749      0.29206361      
400000          -83065639.3139  -2856430.6214   0.0000          0.0000          0.0000          -80209208.6925  -64903708.5020  2762.0711       4816.2516       1348.0462       0.05315351      0.07973026      0.07973026      0.15946052      0.01328838      0.15946052      0.15946052      0.29571604      
500000          -83157988.5832  -2921799.1636   0.0000          0.0000          0.0000          -80236189.4196  -64930611.9411  2756.4586       4836.6272       1358.8439       0.05292966      0.07939448      0.07939448      0.15878897      0.01323241      0.15878897      0.15878897      0.29868206      
600000          -83271955.3897  -2998223.7369   0.0000          0.0000          0.0000          -80273731.6527  -64968042.6294  2740.9543       4863.9291       1373.3120       0.05263243      0.07894864      0.07894864      0.15789729      0.01315811      0.15789729      0.15789729      0.30262031      
700000          -83283644.9061  -3004052.6448   0.0000          0.0000          0.0000          -80279592.2613  -64973957.2644  2802.2802       4866.0042       1374.4117       0.05260997      0.07891495      0.07891495      0.15782990      0.01315249      0.15782990      0.15782990      0.30291796      
800000          -83265198.1881  -2995527.4423   0.0000          0.0000          0.0000          -80269670.7458  -64964120.5784  2870.3076       4861.2278       1371.8805       0.05266163      0.07899245      0.07899245      0.15798490      0.01316541      0.15798490      0.15798490      0.30223334      
900000          -83346246.4182  -3045782.0147   0.0000          0.0000          0.0000          -80300464.4035  -64994738.6684  2755.7942       4878.5840       1381.0781       0.05247447      0.07871170      0.07871170      0.15742340      0.01311862      0.15742340      0.15742340      0.30471330      
1000000         -83396620.5801  -3091665.7737   0.0000          0.0000          0.0000          -80304954.8064  -64999194.4999  2768.8037       4892.1101       1388.2460       0.05232923      0.07849385      0.07849385      0.15698770      0.01308231      0.15698770      0.15698770      0.30663764      
1100000         -83428439.1354  -3110174.7633   0.0000          0.0000          0.0000          -80318264.3721  -65012411.1982  2704.0195       4900.0935       1392.4766       0.05224393      0.07836589      0.07836589      0.15673178      0.01306098      0.15673178      0.15673178      0.30776798      
1200000         -83445711.3275  -3127197.1282   0.0000          0.0000          0.0000          -80318514.1993  -65012534.4148  2596.1446       4905.4195       1395.2991       0.05218721      0.07828081      0.07828081      0.15656162      0.01304680      0.15656162      0.15656162      0.30851951      
1300000         -83434152.5555  -3118446.2190   0.0000          0.0000          0.0000          -80315706.3365  -65009805.8498  2658.2313       4900.5268       1392.7063       0.05223930      0.07835895      0.07835895      0.15671791      0.01305983      0.15671791      0.15671791      0.30782923      
1400000         -83472217.6179  -3148519.7484   0.0000          0.0000          0.0000          -80323697.8695  -65017719.3036  2593.7607       4904.3954       1394.7564       0.05219812      0.07829718      0.07829718      0.15659435      0.01304953      0.15659435      0.15659435      0.30837494      
