#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -385080.2549    -385080.2549    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3627.0040       717.8270        0.07059124      0.10588686      0.10588686      0.21177372      0.01764781      0.21177372      0.21177372      0.06466607      
200000          -446605.3992    -446605.3992    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3658.6450       734.5946        0.06997251      0.10495877      0.10495877      0.20991754      0.01749313      0.20991754      0.20991754      0.07286419      
300000          -433313.9671    -433313.9671    0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          3651.8996       731.0200        0.07010190      0.10515285      0.10515285      0.21030570      0.01752547      0.21030570      0.21030570      0.07114983      
