#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -1055166.4875   -1055166.4875   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4010.4464       921.0251        0.06395331      0.09592996      0.09592996      0.19185992      0.01598833      0.19185992      0.19185992      0.15261870      
200000          -1584227.5515   -1584227.5515   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4269.2251       1058.1599       0.05996755      0.08995132      0.08995132      0.17990265      0.01499189      0.17990265      0.17990265      0.20542998      
300000          -1747959.3119   -1747959.3119   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4341.9747       1096.7122       0.05896041      0.08844061      0.08844061      0.17688122      0.01474010      0.17688122      0.17688122      0.21877460      
400000          -1813715.3683   -1813715.3683   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4372.2442       1112.7529       0.05855170      0.08782755      0.08782755      0.17565509      0.01463792      0.17565509      0.17565509      0.22419001      
500000          -1855800.9614   -1855800.9614   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4391.3599       1122.8830       0.05829682      0.08744522      0.08744522      0.17489045      0.01457420      0.17489045      0.17489045      0.22756719      
600000          -1777878.5183   -1777878.5183   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4356.8273       1104.5831       0.05876011      0.08814016      0.08814016      0.17628033      0.01469003      0.17628033      0.17628033      0.22142855      
700000          -1806731.3558   -1806731.3558   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4368.9909       1111.0289       0.05859684      0.08789526      0.08789526      0.17579052      0.01464921      0.17579052      0.17579052      0.22359189      
800000          -1813247.1333   -1813247.1333   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4369.5565       1111.3287       0.05858868      0.08788302      0.08788302      0.17576604      0.01464717      0.17576604      0.17576604      0.22369998      
900000          -1821425.0661   -1821425.0661   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4376.6186       1115.0711       0.05849499      0.08774248      0.08774248      0.17548496      0.01462375      0.17548496      0.17548496      0.22494141      
1000000         -1830614.3199   -1830614.3199   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4379.0603       1116.3650       0.05846056      0.08769084      0.08769084      0.17538168      0.01461514      0.17538168      0.17538168      0.22539756      
1100000         -1898680.3672   -1898680.3672   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4406.7559       1131.0418       0.05809329      0.08713993      0.08713993      0.17427987      0.01452332      0.17427987      0.17427987      0.23026393      
1200000         -1875924.4773   -1875924.4773   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4399.0557       1126.9612       0.05819457      0.08729186      0.08729186      0.17458371      0.01454864      0.17458371      0.17458371      0.22892193      
1300000         -1857384.0810   -1857384.0810   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4389.6708       1121.9878       0.05832021      0.08748032      0.08748032      0.17496064      0.01458005      0.17496064      0.17496064      0.22725716      
1400000         -1790809.0681   -1790809.0681   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4360.8677       1106.7242       0.05870505      0.08805757      0.08805757      0.17611515      0.01467626      0.17611515      0.17611515      0.22215810      
1500000         -1793689.3227   -1793689.3227   0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          4362.2573       1107.4606       0.05868725      0.08803088      0.08803088      0.17606176      0.01467181      0.17606176      0.17606176      0.22239388      
