#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -81746428.7467  -1811549.4333   0.0000          0.0000          0.0000          -79934879.3134  -64630512.6463  2413.8968       4395.0412       1124.8338       0.05856130      0.08784195      0.08784195      0.17568391      0.01464033      0.17568391      0.17568391      0.22406275      
200000          -82691330.5992  -2569376.0254   0.0000          0.0000          0.0000          -80121954.5738  -64816610.8375  2584.7322       4721.3624       1297.7615       0.05422320      0.08133480      0.08133480      0.16266959      0.01355580      0.16266959      0.16266959      0.28154264      
300000          -82929626.2778  -2756873.3751   0.0000          0.0000          0.0000          -80172752.9027  -64867288.7183  2686.2131       4784.4513       1331.1943       0.05350677      0.08026015      0.08026015      0.16052031      0.01337669      0.16052031      0.16052031      0.29103530      
400000          -83053568.5760  -2852605.9567   0.0000          0.0000          0.0000          -80200962.6193  -64895326.2730  2614.9840       4813.1440       1346.3994       0.05318786      0.07978179      0.07978179      0.15956358      0.01329696      0.15956358      0.15956358      0.29526086      
500000          -83158130.5775  -2920808.4711   0.0000          0.0000          0.0000          -80237322.1063  -64931614.5353  2636.3340       4839.4608       1360.3455       0.05289857      0.07934786      0.07934786      0.15869571      0.01322464      0.15869571      0.15869571      0.29909395      
600000          -83231240.7546  -2972777.4330   0.0000          0.0000          0.0000          -80258463.3216  -64952626.2114  2576.3004       4859.2195       1370.8163       0.05268341      0.07902511      0.07902511      0.15805022      0.01317085      0.15805022      0.15805022      0.30194486      
700000          -83291288.1402  -3021093.1706   0.0000          0.0000          0.0000          -80270194.9696  -64964391.4795  2645.1476       4869.2337       1376.1231       0.05257505      0.07886257      0.07886257      0.15772514      0.01314376      0.15772514      0.15772514      0.30338063      
800000          -83339419.3135  -3040737.1782   0.0000          0.0000          0.0000          -80298682.1353  -64992997.7229  2802.6826       4880.1662       1381.9166       0.05245739      0.07868609      0.07868609      0.15737218      0.01311435      0.15737218      0.15737218      0.30493954      
900000          -83409829.8724  -3091597.9990   0.0000          0.0000          0.0000          -80318231.8734  -65012303.4024  2619.2565       4897.4025       1391.0506       0.05227265      0.07840898      0.07840898      0.15681796      0.01306816      0.15681796      0.15681796      0.30738732      
1000000         -83445268.3948  -3121005.0669   0.0000          0.0000          0.0000          -80324263.3279  -65018310.7566  2619.9842       4904.4605       1394.7909       0.05219742      0.07829613      0.07829613      0.15659227      0.01304936      0.15659227      0.15659227      0.30838415      
