#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
100000          -81774638.6442  -1843521.5642   0.0000          0.0000          0.0000          -79931117.0800  -64626719.3656  2430.2779       4408.5240       1131.9787       0.05837279      0.08755918      0.08755918      0.17511837      0.01459320      0.17511837      0.17511837      0.22656054      
200000          -82681014.6181  -2568554.6196   0.0000          0.0000          0.0000          -80112459.9985  -64807185.7609  2642.9548       4718.1568       1296.0628       0.05426040      0.08139060      0.08139060      0.16278121      0.01356510      0.16278121      0.16278121      0.28104967      
300000          -82942570.4316  -2756969.6341   0.0000          0.0000          0.0000          -80185600.7975  -64880032.9411  2584.8452       4785.1064       1331.5414       0.05349979      0.08024969      0.08024969      0.16049937      0.01337495      0.16049937      0.16049937      0.29112778      
400000          -83035471.8986  -2832211.8271   0.0000          0.0000          0.0000          -80203260.0716  -64897667.6141  2655.1101       4812.0744       1345.8326       0.05319954      0.07979931      0.07979931      0.15959863      0.01329989      0.15959863      0.15959863      0.29510606      
500000          -83115719.8293  -2892998.0855   0.0000          0.0000          0.0000          -80222721.7438  -64917050.7019  2636.0770       4829.0034       1354.8038       0.05301304      0.07951956      0.07951956      0.15903911      0.01325326      0.15903911      0.15903911      0.29757726      
600000          -83172953.3771  -2928869.6109   0.0000          0.0000          0.0000          -80244083.7662  -64938456.9573  2722.8534       4841.0974       1361.2128       0.05288061      0.07932092      0.07932092      0.15864184      0.01322015      0.15864184      0.15864184      0.29933188      
700000          -83233228.0067  -2962220.4349   0.0000          0.0000          0.0000          -80271007.5718  -64965348.9236  2745.7616       4856.6608       1369.4603       0.05271116      0.07906673      0.07906673      0.15813347      0.01317779      0.15813347      0.15813347      0.30157718      
800000          -83259889.8062  -3000093.6224   0.0000          0.0000          0.0000          -80259796.1838  -64954077.3804  2712.4817       4864.3008       1373.5090       0.05262844      0.07894266      0.07894266      0.15788532      0.01315711      0.15788532      0.15788532      0.30267317      
900000          -83335559.3841  -3051910.9832   0.0000          0.0000          0.0000          -80283648.4009  -64977769.2902  2614.1242       4881.9116       1382.8415       0.05243853      0.07865780      0.07865780      0.15731560      0.01310963      0.15731560      0.15731560      0.30518941      
1000000         -83389740.1160  -3082371.8872   0.0000          0.0000          0.0000          -80307368.2288  -65001529.9161  2696.3916       4893.7004       1389.0887       0.05231224      0.07846835      0.07846835      0.15693671      0.01307806      0.15693671      0.15693671      0.30686287      
